h3_unit,country_output_weight,active_rate_country,active_rate_non_country,active_rate_gap,mean_h3_country,mean_h3_non_country,mean_h3_gap,mean_contrib_country,mean_contrib_non_country,mean_contrib_gap,abs_contrib_gap
62,-1.0353788137435913,0.8485254691689008,0.7506631299734748,0.09786233919542597,0.5741493701934814,0.6489363312721252,-0.0747869610786438,-0.5944621562957764,-0.6718948483467102,0.07743269205093384,0.07743269205093384
10,0.38443025946617126,1.0,1.0,0.0,8.178084373474121,8.301734924316406,-0.12365055084228516,3.1439032554626465,3.1914379596710205,-0.04753470420837402,0.04753470420837402
17,0.3672011196613312,1.0,1.0,0.0,8.871304512023926,8.990846633911133,-0.11954212188720703,3.2575528621673584,3.3014488220214844,-0.04389595985412598,0.04389595985412598
31,-0.7930563688278198,0.9624664879356568,0.9270557029177718,0.03541078501788497,0.6894808411598206,0.7441620230674744,-0.05468118190765381,-0.5467972159385681,-0.590162456035614,0.0433652400970459,0.0433652400970459
12,0.544456958770752,1.0,1.0,0.0,6.1152238845825195,6.183868408203125,-0.06864452362060547,3.3294758796691895,3.3668501377105713,-0.037374258041381836,0.037374258041381836
63,0.7237433791160583,1.0,1.0,0.0,4.850477695465088,4.898746013641357,-0.04826831817626953,3.510500907897949,3.5454351902008057,-0.034934282302856445,0.034934282302856445
13,-0.9380837082862854,0.9182305630026809,0.8673740053050398,0.05085655769764108,0.5144764184951782,0.5513123273849487,-0.03683590888977051,-0.4826219081878662,-0.5171771049499512,0.03455519676208496,0.03455519676208496
41,0.8184534907341003,1.0,1.0,0.0,4.9314494132995605,4.973216533660889,-0.041767120361328125,4.036162376403809,4.070346355438232,-0.03418397903442383,0.03418397903442383
39,-0.6713621616363525,0.9369973190348525,0.8567639257294429,0.08023339330540957,0.6729098558425903,0.7139662504196167,-0.04105639457702637,-0.4517661929130554,-0.4793298840522766,0.02756369113922119,0.02756369113922119
19,-0.5692055225372314,0.9986595174262735,0.9734748010610079,0.025184716365265536,0.6537542939186096,0.6939889192581177,-0.04023462533950806,-0.37212055921554565,-0.39502236247062683,0.022901803255081177,0.022901803255081177
45,-1.1447023153305054,0.9571045576407506,0.9283819628647215,0.02872259477602912,0.6888191103935242,0.7082396745681763,-0.0194205641746521,-0.7884929180145264,-0.8107234835624695,0.022230565547943115,0.022230565547943115
25,-0.5206489562988281,1.0,0.9748010610079576,0.025198938992042397,0.9278209209442139,0.9666545391082764,-0.0388336181640625,-0.4830690324306488,-0.5032877326011658,0.020218700170516968,0.020218700170516968
50,0.6307124495506287,1.0,1.0,0.0,4.045515060424805,4.077236652374268,-0.03172159194946289,2.5515568256378174,2.571563959121704,-0.02000713348388672,0.02000713348388672
23,0.834733247756958,1.0,1.0,0.0,2.925842761993408,2.9490814208984375,-0.023238658905029297,2.442298173904419,2.4616963863372803,-0.019398212432861328,0.019398212432861328
29,0.45219022035598755,1.0,1.0,0.0,4.115056037902832,4.153547763824463,-0.03849172592163086,1.8607879877090454,1.8781936168670654,-0.01740562915802002,0.01740562915802002
28,0.43289414048194885,1.0,1.0,0.0,3.5649807453155518,3.596302032470703,-0.03132128715515137,1.5432590246200562,1.5568180084228516,-0.01355898380279541,0.01355898380279541
20,-1.0466827154159546,0.9919571045576407,0.980106100795756,0.011851003761884749,0.9579536318778992,0.9474329352378845,0.010520696640014648,-1.0026735067367554,-0.9916616678237915,-0.011011838912963867,0.011011838912963867
57,-0.2780722677707672,0.9906166219839142,0.9522546419098143,0.038361980074099855,1.9164904356002808,1.9523582458496094,-0.03586781024932861,-0.5329228639602661,-0.5428966879844666,0.00997382402420044,0.00997382402420044
40,-0.386922687292099,0.9705093833780161,0.9376657824933687,0.03284360088464733,1.1530591249465942,1.12827730178833,0.02478182315826416,-0.4461447298526764,-0.4365561008453369,-0.009588629007339478,0.009588629007339478
32,-0.3270317316055298,0.9651474530831099,0.9190981432360743,0.04604930984703559,1.0505141019821167,1.0302011966705322,0.020312905311584473,-0.3435514271259308,-0.3369085192680359,-0.0066429078578948975,0.0066429078578948975
16,-0.23089513182640076,1.0,1.0,0.0,2.8224730491638184,2.847871780395508,-0.025398731231689453,-0.6516953706741333,-0.6575598120689392,0.005864441394805908,0.005864441394805908
51,-1.3606727123260498,0.9517426273458445,0.8846153846153846,0.06712724273045989,0.4385058581829071,0.4341999292373657,0.004305928945541382,-0.5966629385948181,-0.5908040404319763,-0.005858898162841797,0.005858898162841797
37,-0.08022309094667435,1.0,1.0,0.0,4.243546962738037,4.312068939208984,-0.06852197647094727,-0.34043046832084656,-0.34592750668525696,0.0054970383644104,0.0054970383644104
38,-0.1078905388712883,0.9879356568364611,0.980106100795756,0.007829556040705121,1.397763967514038,1.348357915878296,0.04940605163574219,-0.1508055031299591,-0.14547505974769592,-0.005330443382263184,0.005330443382263184
3,0.06757466495037079,0.9973190348525469,0.9376657824933687,0.05965325235917818,1.6631048917770386,1.5930993556976318,0.07000553607940674,0.11238375306129456,0.10765314847230911,0.004730604588985443,0.004730604588985443
8,0.19237591326236725,0.9986595174262735,0.980106100795756,0.01855341663051746,0.8806384801864624,0.9022366404533386,-0.02159816026687622,0.16941362619400024,0.17356860637664795,-0.004154980182647705,0.004154980182647705
